Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Clistax brasiliensis","","Acanthaceae","Subarbusto","Mata de galeria","AM, PA, MA, CE, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Justicia lanstyakii","","Acanthaceae","Erva, subarbusto","Mata de galeria, cerrado (lato sensu), campo sujo, campo limpo","MT, GO, DF"
"Justicia phyllocalyx","","Acanthaceae","Subarbusto","Campo Sujo, Campo Úmido","MT, GO, MG"
"Lepidagathis floribunda","","Acanthaceae","Arbusto","Mata de galeria, mata seca (de encosta), cerradão, cerrado (lato sensu)","TO, BA, MT, GO, DF, MS, MG, SP"
"Ruellia affinis","","Acanthaceae","Subarbusto , trepadeira","Mata de galeria, mata seca, campo rupestre (lato sensu), transição com mata atlântica,","BA"
"Ruellia geminiflora","","Acanthaceae","Subarbusto , erva","Borda de mata ciliar, cerradão, cerrado (stricto sensu), campo sujo, campo limpo, campo rupestre (lato sensu), savanas amazônicas, área antrópica,","AM, PA, MA, CE, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC, RS"
"Ruellia incomta","","Acanthaceae","Subarbusto","Borda de mata ciliar, cerrado (stricto sensu), campo sujo, campo rupestre (lato sensu)","RO, BA, MT, GO, DF, MG"
"Ruellia puri","Ruélia azul","Acanthaceae","Subarbusto","Mata de galeria, cerrado (lato sensu), campo limpo, campo rupestre (lato sensu)","PA, RO, MT, GO, DF, MG, SP"
"Ruellia simplex","Ruélia azul","Acanthaceae","Arbusto","Mata, savanas amazônicas","MT, SP, RS"
"Ruellia villosa","","Acanthaceae","Subarbusto","Mata de galeria, cerrado (stricto sensu), campo úmido, campo rupestre (lato sensu)","BA, GO, DF, MG"
"Alstroemeria plantaginea","","Alstroemeriaceae","Erva","Mata, Cerrado Rupestre, Campo Sujo, Campo Rupestre (lato sensu)","BA, MG, SP"
"Alstroemeria stenopetala","","Alstroemeriaceae","Erva","Cerradão, Cerrado (stricto sensu), Campo Úmido","GO, DF"
"Gomphrena arborescens","Para-tudo","Amaranthaceae","Subarbusto","Cerrado (stricto sensu), Campo Sujo, Campo Rupestre (lato sensu)","MT, DF, MS, MG, SP"
"Gomphrena scapigera","","Amaranthaceae","Subarbusto","Cerrado (stricto sensu), Campo Sujo, Campo Rupestre (lato sensu)","BA, MG"
"Anacardium humile","cajuí","Anacardiaceae","Arbusto","Campo Sujo, Campo Rupestre (stricto sensu)","TO, RO, PI, BA, MT, GO, DF, MS, MG, SP, PR"
"Anacardium occidentale","Cajueiro","Anacardiaceae","Árvore","Mata Ciliar, Cerradão, Cerrado (stricto sensu), Campo Sujo, Savanas Amazônicas","RR, AP, PA, AM, TO, AC, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MG, ES, SP, RJ, PR, SC"
"Lithrea molleoides","Aroeira","Anacardiaceae","Árvore","Mata de Galeria, Mata Seca Semidecídua, Transição com Cerrado (lato sensu)","BA, MT, GO, DF, MS, MG, SP, PR, SC, RS"
"Myracrodruon urundeuva","Aroeira","Anacardiaceae","Árvore","Mata Ciliar, Mata Seca (Semidecídua, Decídua), Carradão, Cerrado (stricto sensu)","BA, MT, GO, DF, MS, MG, SP, PR, SC, RS"
"Schinus terebinthifolius","Aroeira vermelha","Anacardiaceae","Arbusto","Cerrado (stricto sensu), Área antrópica","PE, BA, MG, SP, RJ, PR, SC, RS"
"Tapirira guianensis","Camboatá, paupombo","Anacardiaceae","Árvore","Mata ciliar, mata de galeria, mata seca semidecídua, cerradão, cerrado denso, vereda, savanas amazônicas","PA, AM, TO, AC, RO, MA, PI, CE, RN, PB, PE, BA, AL, SE, MT, GO, DF, MS, MG, ES, SP, RJ, PR, SC"
"Annona crassiflora","Araticum grande, pinha-do-cerrado","Annonaceae","Árvore","Mata de Galeria, Cerradão, Cerrado (stricto sensu), Vereda","PA, TO, MA, BA, MT, GO, DF, MS, MG, SP, PR"
"Annona monticola","Marolo","Annonaceae","Arbusto","Cerrado (stricto sensu), Campo Sujo","MT, GO, DF, MG, SP"
"Cardiopetalum calophyllum","Pindaíba vermelha, embira","Annonaceae","Árvore","Mata de Galeria, Cerradão, Cerrado (stricto sensu), Campo Sujo","PA, AM, TO, AC, RO, PI, RN, MT, GO, DF, MG"
